"fips","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","state","abbr","county"
"01001",0.053,0.074,0.134,0.295,0.444,"Alabama","AL","Autauga"
"01003",0.083,0.059,0.098,0.323,0.436,"Alabama","AL","Baldwin"
"01005",0.067,0.121,0.12,0.201,0.491,"Alabama","AL","Barbour"
"01007",0.02,0.034,0.096,0.278,0.572,"Alabama","AL","Bibb"
"01009",0.053,0.114,0.18,0.194,0.459,"Alabama","AL","Blount"
"01011",0.031,0.04,0.144,0.286,0.5,"Alabama","AL","Bullock"
"01013",0.102,0.053,0.257,0.137,0.451,"Alabama","AL","Butler"
"01015",0.152,0.108,0.13,0.167,0.442,"Alabama","AL","Calhoun"
"01017",0.117,0.037,0.15,0.136,0.56,"Alabama","AL","Chambers"
"01019",0.135,0.027,0.161,0.158,0.52,"Alabama","AL","Cherokee"
"01021",0.06,0.07,0.058,0.194,0.618,"Alabama","AL","Chilton"
"01023",0.049,0.038,0.126,0.219,0.568,"Alabama","AL","Choctaw"
"01025",0.049,0.088,0.164,0.268,0.43,"Alabama","AL","Clarke"
"01027",0.148,0.158,0.195,0.169,0.329,"Alabama","AL","Clay"
"01029",0.151,0.125,0.138,0.217,0.368,"Alabama","AL","Cleburne"
"01031",0.101,0.152,0.094,0.186,0.466,"Alabama","AL","Coffee"
"01033",0.082,0.096,0.152,0.159,0.51,"Alabama","AL","Colbert"
"01035",0.099,0.052,0.259,0.192,0.399,"Alabama","AL","Conecuh"
"01037",0.055,0.131,0.167,0.263,0.384,"Alabama","AL","Coosa"
"01039",0.187,0.128,0.129,0.201,0.356,"Alabama","AL","Covington"
"01041",0.06,0.091,0.199,0.233,0.416,"Alabama","AL","Crenshaw"
"01043",0.13,0.024,0.249,0.217,0.379,"Alabama","AL","Cullman"
"01045",0.089,0.113,0.118,0.22,0.46,"Alabama","AL","Dale"
"01047",0.095,0.1,0.159,0.122,0.524,"Alabama","AL","Dallas"
"01049",0.084,0.051,0.106,0.179,0.58,"Alabama","AL","DeKalb"
"01051",0.042,0.095,0.127,0.252,0.485,"Alabama","AL","Elmore"
"01053",0.114,0.026,0.188,0.285,0.387,"Alabama","AL","Escambia"
"01055",0.096,0.103,0.178,0.122,0.501,"Alabama","AL","Etowah"
"01057",0.138,0.048,0.151,0.233,0.429,"Alabama","AL","Fayette"
"01059",0.065,0.071,0.223,0.156,0.484,"Alabama","AL","Franklin"
"01061",0.176,0.131,0.089,0.158,0.445,"Alabama","AL","Geneva"
"01063",0.03,0.053,0.127,0.167,0.623,"Alabama","AL","Greene"
"01065",0.026,0.061,0.084,0.191,0.639,"Alabama","AL","Hale"
"01067",0.066,0.068,0.17,0.258,0.438,"Alabama","AL","Henry"
"01069",0.085,0.079,0.135,0.268,0.433,"Alabama","AL","Houston"
"01071",0.092,0.089,0.11,0.249,0.46,"Alabama","AL","Jackson"
"01073",0.049,0.037,0.107,0.179,0.628,"Alabama","AL","Jefferson"
"01075",0.107,0.045,0.132,0.189,0.527,"Alabama","AL","Lamar"
"01077",0.093,0.119,0.141,0.179,0.469,"Alabama","AL","Lauderdale"
"01079",0.162,0.08,0.088,0.251,0.419,"Alabama","AL","Lawrence"
"01081",0.053,0.064,0.138,0.183,0.562,"Alabama","AL","Lee"
"01083",0.102,0.034,0.133,0.336,0.395,"Alabama","AL","Limestone"
"01085",0.12,0.073,0.145,0.199,0.464,"Alabama","AL","Lowndes"
"01087",0.008,0.033,0.241,0.172,0.545,"Alabama","AL","Macon"
"01089",0.062,0.05,0.123,0.177,0.589,"Alabama","AL","Madison"
"01091",0.033,0.151,0.118,0.186,0.512,"Alabama","AL","Marengo"
"01093",0.129,0.064,0.246,0.207,0.353,"Alabama","AL","Marion"
